AccX,AccY,AccZ,Label
0.027,0.84,0.555,LYING
0.021,0.861,0.564,LYING
0.018,0.872,0.567,LYING
0.018,0.865,0.58,LYING
0.022,0.857,0.606,LYING
0.025,0.842,0.607,LYING
0.027,0.833,0.584,LYING
0.042,0.838,0.554,LYING
0.063,0.878,0.543,LYING
0.054,0.875,0.534,LYING
0.033,0.847,0.552,LYING
0.017,0.839,0.575,LYING
0.003,0.846,0.585,LYING
0.0,0.849,0.563,LYING
0.01,0.865,0.543,LYING
0.025,0.885,0.53,LYING
0.05,0.871,0.526,LYING
0.064,0.854,0.542,LYING
0.046,0.845,0.553,LYING
0.023,0.851,0.561,LYING
0.006,0.858,0.558,LYING
-0.005,0.855,0.539,LYING
-0.007,0.857,0.543,LYING
0.003,0.86,0.557,LYING
0.016,0.844,0.562,LYING
0.028,0.846,0.569,LYING
0.03,0.852,0.568,LYING
0.027,0.857,0.558,LYING
0.024,0.869,0.551,LYING
0.017,0.871,0.542,LYING
0.007,0.869,0.533,LYING
0.0,0.869,0.529,LYING
-0.005,0.874,0.534,LYING
-0.006,0.869,0.539,LYING
0.003,0.866,0.547,LYING
0.016,0.862,0.553,LYING
0.022,0.857,0.554,LYING
0.026,0.854,0.559,LYING
0.036,0.847,0.563,LYING
0.045,0.854,0.578,LYING
0.035,0.851,0.581,LYING
0.019,0.849,0.584,LYING
-0.004,0.85,0.571,LYING
-0.021,0.859,0.542,LYING
-0.032,0.868,0.522,LYING
-0.035,0.871,0.519,LYING
-0.024,0.878,0.518,LYING
-0.006,0.896,0.516,LYING
0.017,0.901,0.525,LYING
0.038,0.878,0.54,LYING
0.055,0.86,0.563,LYING
0.055,0.844,0.574,LYING
0.042,0.841,0.581,LYING
0.026,0.859,0.562,LYING
0.004,0.874,0.543,LYING
-0.021,0.862,0.558,LYING
-0.024,0.852,0.558,LYING
-0.01,0.859,0.55,LYING
0.007,0.865,0.551,LYING
0.016,0.863,0.553,LYING
0.023,0.859,0.551,LYING
0.028,0.863,0.546,LYING
0.029,0.866,0.545,LYING
0.026,0.866,0.55,LYING
0.02,0.863,0.555,LYING
0.016,0.863,0.555,LYING
0.013,0.864,0.552,LYING
0.01,0.861,0.551,LYING
0.009,0.86,0.551,LYING
0.01,0.863,0.546,LYING
0.014,0.866,0.544,LYING
0.018,0.867,0.547,LYING
0.021,0.867,0.551,LYING
0.022,0.865,0.557,LYING
0.021,0.86,0.556,LYING
0.019,0.856,0.552,LYING
0.016,0.861,0.551,LYING
0.012,0.861,0.55,LYING
0.01,0.861,0.547,LYING
0.012,0.864,0.545,LYING
0.015,0.866,0.547,LYING
0.018,0.864,0.553,LYING
0.022,0.86,0.558,LYING
0.024,0.855,0.558,LYING
0.022,0.852,0.557,LYING
0.019,0.853,0.557,LYING
0.014,0.861,0.557,LYING
0.005,0.87,0.543,LYING
0.004,0.872,0.534,LYING
0.008,0.871,0.53,LYING
0.013,0.873,0.537,LYING
0.02,0.869,0.552,LYING
0.027,0.849,0.566,LYING
0.028,0.827,0.58,LYING
0.022,0.83,0.592,LYING
0.012,0.844,0.582,LYING
0.0,0.861,0.555,LYING
-0.008,0.88,0.53,LYING
-0.01,0.905,0.518,LYING
-0.008,0.912,0.514,LYING
0.002,0.909,0.521,LYING
0.012,0.892,0.533,LYING
0.017,0.868,0.548,LYING
0.02,0.847,0.563,LYING
0.018,0.833,0.575,LYING
0.012,0.828,0.58,LYING
0.002,0.827,0.574,LYING
-0.005,0.835,0.567,LYING
-0.005,0.85,0.562,LYING
0.002,0.861,0.559,LYING
0.011,0.865,0.553,LYING
0.018,0.864,0.554,LYING
0.022,0.863,0.561,LYING
0.021,0.858,0.563,LYING
0.018,0.855,0.566,LYING
0.013,0.859,0.569,LYING
0.01,0.857,0.564,LYING
0.01,0.857,0.561,LYING
0.013,0.86,0.561,LYING
0.017,0.86,0.564,LYING
0.021,0.86,0.563,LYING
0.021,0.859,0.564,LYING
0.018,0.856,0.569,LYING
0.016,0.855,0.571,LYING
0.012,0.856,0.567,LYING
0.009,0.858,0.561,LYING
0.009,0.858,0.556,LYING
0.012,0.859,0.558,LYING
0.015,0.858,0.561,LYING
0.016,0.856,0.562,LYING
0.017,0.856,0.565,LYING
0.017,0.858,0.567,LYING
0.017,0.86,0.563,LYING
0.016,0.86,0.56,LYING
0.016,0.858,0.561,LYING
0.016,0.858,0.566,LYING
0.016,0.859,0.566,LYING
0.014,0.858,0.562,LYING
0.012,0.86,0.56,LYING
0.009,0.856,0.557,LYING
0.009,0.852,0.559,LYING
0.012,0.855,0.56,LYING
0.013,0.855,0.559,LYING
0.015,0.856,0.561,LYING
0.017,0.861,0.565,LYING
0.019,0.863,0.564,LYING
0.019,0.862,0.561,LYING
0.019,0.859,0.56,LYING
0.017,0.856,0.561,LYING
0.014,0.854,0.561,LYING
0.011,0.854,0.562,LYING
0.009,0.855,0.561,LYING
0.01,0.862,0.554,LYING
0.012,0.865,0.561,LYING
0.017,0.863,0.571,LYING
0.023,0.857,0.581,LYING
0.026,0.847,0.588,LYING
0.024,0.831,0.59,LYING
0.016,0.82,0.59,LYING
0.002,0.823,0.587,LYING
-0.009,0.844,0.578,LYING
-0.013,0.859,0.559,LYING
-0.009,0.857,0.543,LYING
-0.002,0.846,0.549,LYING
0.001,0.835,0.567,LYING
-0.002,0.825,0.584,LYING
-0.009,0.83,0.6,LYING
-0.014,0.836,0.597,LYING
-0.015,0.845,0.585,LYING
-0.01,0.857,0.575,LYING
0.004,0.868,0.564,LYING
0.018,0.876,0.554,LYING
0.027,0.882,0.551,LYING
0.028,0.874,0.555,LYING
0.024,0.86,0.568,LYING
0.013,0.848,0.586,LYING
-0.002,0.825,0.596,LYING
-0.015,0.807,0.605,LYING
-0.022,0.799,0.608,LYING
-0.025,0.802,0.61,LYING
-0.022,0.807,0.606,LYING
-0.015,0.818,0.601,LYING
-0.004,0.833,0.593,LYING
0.007,0.841,0.59,LYING
0.017,0.842,0.599,LYING
0.02,0.837,0.608,LYING
0.017,0.823,0.607,LYING
